
Rmag	          Bmag	  (B-R)	Speak	Sint
1.214313897	1.241546481	1.06	3.6	3.21
1.237543738	1.246252312	0.35	2.45	2.65
1.24674471	1.262925469	0.67	1.12	0.93
1.248463718	1.272537777	1.01	62.16	63.3
1.224533063	1.244771761	0.8	1.73	2.02
1.236285277	1.2509077	0.6	1.04	0.91
1.249931757	1.258637283	0.36	1.39	2.12
1.236033147	1.259832699	0.97	11.16	11.86
1.236537261	1.26810973	1.3	1.25	1.83
1.22762965	1.24674471	0.76	3.54	3.63
1.228400359	1.23578087	0.28	1.41	1.56
1.235023159	1.258876629	0.97	26.33	31.69
1.237040791	1.262213705	1.03	1.01	1.18
1.22685757	1.245018871	0.71	1.04	1.2
1.229937686	1.244771761	0.59	1439.97	1537.07
1.19838213	1.223495941	0.94	28.12	28.52
1.209515015	1.210586025	0.04	1.48	2.03
1.226599905	1.246252312	0.78	1.16	1.11
1.219322508	1.224533063	0.2	32.49	34.61
1.2219356	1.234770295	0.5	18.13	19.83
1.220631019	1.226084116	0.21	128.43	131.85
1.227115083	1.242789809	0.62	4.97	4.45
1.231214648	1.234517284	0.13	35.73	36.61
1.233757363	1.239549721	0.23	9.28	9.71
1.20709554	1.228656958	0.82	1041.77	1069.98
1.246252312	1.266466895	0.84	136.1	140.49
1.197004728	1.192009593	-0.18	1204.19	1228.71
1.229169703	1.256477206	1.1	14.55	14.85
1.245512668	1.242044239	-0.13	3.41	3.4
1.246498581	1.254789687	0.33	79.49	82.16
1.225050696	1.260309946	1.42	5.58	5.3
1.229681842	1.22762965	-0.08	9.09	9
1.238547888	1.25139485	0.52	6.75	6.76
1.245265839	1.249687428	0.18	1.15	0.96
1.223236273	1.243781916	0.8	19.92	19.79
1.230448921	1.255754787	1.02	33.93	36.95
1.213783299	1.227886705	0.54	3.4	2.66
1.2219356	1.25163822	1.18	1.29	1.07
1.234770295	1.237794993	0.11	13.83	13.3
1.228656958	1.25163822	0.93	33.01	34.77
1.207634367	1.216957207	0.35	1.54	0.99
1.206556044	1.21031852	0.14	258.74	340.26
1.237040791	1.238046103	0.04	172.71	196.33
1.241795431	1.256958153	0.62	26.45	27.61
1.242789809	1.255272505	0.51	208.11	208.02
1.230448921	1.24723655	0.67	1.09	1.08
1.201943063	1.221414238	0.73	500.27	517.34
1.234517284	1.247973266	0.54	29.51	29.85
1.248708736	1.245759356	-0.12	3.28	3.2
1.241297387	1.257438567	0.66	571.31	582.58
1.241297387	1.236285277	-0.2	32.69	34.78
1.197280558	1.220369632	0.86	2.27	2.44
1.248953615	1.272537777	0.99	2.71	2.38
1.225825991	1.231724383	0.23	317.1	392.03
1.231214648	1.273232834	1.73	1.43	1.41
1.225309282	1.242044239	0.66	907.01	919.28
1.214843848	1.234264124	0.75	41.28	57.53
1.227886705	1.243286146	0.61	807.88	1078.67
1.244524512	1.257198426	0.52	8.29	8.31
1.239299479	1.254789687	0.63	62.13	65.13
1.208172527	1.23325001	0.96	1.07	0.82
1.232742063	1.263162465	1.24	1.74	1.82
1.242541428	1.262688344	0.84	3.03	2.54
1.208441356	1.234010818	0.97	47.56	49.15
1.186673867	1.211387553	0.9	58.74	63.45
1.248708736	1.270911639	0.92	2.45	2.03
1.24674471	1.265760917	0.79	406.68	432.65
1.204662512	1.216165902	0.43	2.06	2.23
1.238798563	1.23299611	-0.23	23.03	22.88
1.247482261	1.248218561	0.03	34.87	36.63
1.215108581	1.211921084	-0.12	52.76	54.26
1.227115083	1.244771761	0.7	97.26	118.51
1.250175948	1.243038049	-0.29	26.23	26.71
1.23299611	1.234010818	0.04	17.47	17.46
1.228656958	1.276921132	1.99	1.19	1.43
1.242044239	1.271144318	1.22	2.76	2.44
1.246252312	1.270445908	1	53.61	116.94
1.244277121	1.254306332	0.41	11.39	11.8
1.217747073	1.236285277	0.72	14.61	15
1.234770295	1.251881455	0.68	8.74	9.86
1.231724383	1.236537261	0.19	35.95	35.93
1.221674997	1.245512668	0.93	1.56	1.67
1.244029589	1.260548373	0.68	2.66	2.49
1.242292905	1.270678836	1.17	32.86	33.01
1.248463718	1.250663919	0.08	1.51	0.97
1.240549248	1.265525335	1.03	4.95	5.53
1.230448921	1.254064453	0.95	10.35	10.27
1.222716471	1.22762965	0.19	12.81	13.41
1.241546481	1.260071388	0.76	1	1.29
1.249931757	1.266466895	0.69	1.73	1.53
1.241546481	1.256958153	0.63	47.4	52.59
1.228656958	1.264345507	1.45	2.99	3.02
1.225825991	1.244524512	0.74	2.79	3.15
1.230193379	1.271144318	1.68	9.07	9.06
1.239799818	1.250175948	0.42	13.99	15.18
1.245018871	1.255272505	0.42	10.4	11.1
1.225825991	1.239799818	0.55	19.43	20.9
1.243781916	1.266936911	0.96	13.84	14.87
1.242541428	1.268343914	1.07	1.45	1.29
1.241546481	1.249198357	0.31	107.39	117.78
1.230193379	1.250663919	0.82	11.82	15.23
