
Rmag	          Bmag	  (B-R)	Speak	Sint
1.219584526	1.228656958	0.35	175.25	176.52
1.249931757	1.256477206	0.27	2653.87	2694.06
1.224274014	1.235275877	0.43	7.37	7.11
1.245018871	1.250420002	0.22	26.99	27.92
1.230448921	1.249442961	0.76	1.27	0.72
1.238297068	1.227886705	-0.41	1.07	0.63
1.244771761	1.271841607	1.14	2.14	2.66
1.242541428	1.251881455	0.38	6.89	5.06
1.240299582	1.248708736	0.34	23.08	24.01
1.244029589	1.24674471	0.1	490.22	504.69
1.184691431	1.199755177	0.54	6050.06	6598.61
1.219322508	1.232233521	0.5	1.42	1.38
1.230959556	1.23578087	0.19	87.53	90.8
1.239049093	1.25163822	0.51	2.3	1.94
1.243038049	1.26599637	0.95	259.71	269.91
1.235023159	1.23299611	-0.08	170.28	185.19
1.228400359	1.235023159	0.25	42.73	43.9
1.244029589	1.274619619	1.28	1.36	2.22
1.247727833	1.244771761	-0.12	1.16	1.47
1.234517284	1.237292338	0.11	3.2	2.86
1.248708736	1.263872677	0.63	2.06	1.99
1.248953615	1.25791845	0.37	10.15	10.16
1.236789099	1.250420002	0.55	1.1	1.19
1.239299479	1.251881455	0.51	1.72	1.16
1.240299582	1.248708736	0.34	1.19	0.77
1.244524512	1.2509077	0.26	1.1	1.28
1.249687428	1.249931757	0.01	406.35	444.06
1.249931757	1.255754787	0.24	391.07	538.46
1.23578087	1.234010818	-0.07	18.31	18.57
1.239299479	1.236537261	-0.11	1.16	0.7
1.222196046	1.265289626	1.74	5.9	5.48
1.199755177	1.197004728	-0.1	1.82	1.52
1.237040791	1.260548373	0.96	3.63	3.72
1.248463718	1.253338005	0.2	1.19	0.97
1.211387553	1.219584526	0.31	2.57	2.14
1.248463718	1.254789687	0.26	18.85	19.19
1.211654401	1.22297645	0.43	36.32	38.71
1.248953615	1.276691529	1.18	1.71	2.06
1.225050696	1.23325001	0.33	1.23	0.94
1.244771761	1.259832699	0.61	5.61	5.67
1.180412633	1.201123897	0.74	4.05	4.6
1.197004728	1.223495941	0.99	11.13	11.24
1.244524512	1.242789809	-0.06	1.28	0.77
1.160468531	1.180125875	0.67	2.68	2.42
1.23146959	1.244277121	0.51	34.07	34.42
1.218535505	1.226084116	0.28	4.25	3.96
1.191171456	1.21005085	0.69	1.65	1.6
1.239049093	1.249687428	0.44	2.55	2.44
1.241546481	1.261500773	0.81	1.25	0.64
1.186956335	1.220369632	1.23	12.67	13.83
1.235023159	1.254064453	0.77	6.23	7.53
1.222456337	1.246252312	0.94	3.42	3.34
1.215373153	1.230959556	0.6	386.51	392.99
1.170848204	1.177247836	0.22	438.57	441.2
1.241546481	1.260548373	0.78	1.7	1.72
1.231724383	1.243781916	0.48	120.94	123.67
1.246005904	1.26927939	0.97	1.27	0.7
1.220369632	1.224274014	0.15	240.27	245.41
1.20167018	1.211387553	0.36	1.07	2.53
